,Rank,Name,in 2021 ranking,in 2020 ranking,Country,Sector,Absolute Growth Rate %,Compound Annual Growth Rate (CAGR) %,Revenue 2020 (€),Revenue 2017 (€),Number of employees 2020,Number of employees 2017,Founding Year
839,840.0,DoIT,Yes,No,Italy,Technology,186.79,42.08,3040000.0,1060000.0,35.0,20,2014.0
840,841.0,Global Perspectives,Yes,No,UK,Health,186.71,42.06,6631496.0,2329522.0,23.0,8,2009.0
841,842.0,Pirene,No,No,Italy,Support Services,186.54,42.04,1512680.0,527910.0,25.0,8,1999.0
842,843.0,iPulse,Yes,No,UK,Personal & Household Goods,186.27,41.99,105149602.0,36995102.0,183.0,39,2012.0
843,844.0,blue networks,No,No,Germany,Technology,185.36,41.84,6626713.0,2322241.0,47.0,23,2002.0
844,845.0,N. Schwegler,No,Yes,Germany,Construction,185.24,41.82,10514000.0,3686000.0,35.0,20,2009.0
845,846.0,Marcus Lutz Bau,No,No,Germany,Construction,184.26,41.66,1874438.0,659402.0,15.0,7,2002.0
846,847.0,HKR-Technik,No,No,Germany,Retail,184.14,41.64,6996880.0,2462478.0,4.0,3,2008.0
847,848.0,Licht + Strom,Yes,No,Germany,Technology,183.54,41.54,4039340.0,1424633.0,30.0,18,2007.0
848,849.0,Die Autowelt,Yes,No,Germany,Automobiles,183.23,41.49,16754654.0,5915499.0,40.0,15,2009.0
849,850.0,ARTHEAU AVIATION,No,No,France,Aerospace & Defence,183.17,41.48,11263318.0,3977562.0,9.0,4,2012.0
850,851.0,Cepo,No,No,Italy,Industrial Goods,182.86,41.42,4503670.0,1592170.0,22.0,13,2000.0
851,852.0,Sneakers & Jackets,Yes,Yes,France,Financial Services,182.41,41.35,2888273.0,1022714.0,2.0,1,2013.0
852,853.0,89up,No,No,UK,Advertising,182.41,41.35,1814237.0,647020.0,26.0,11,2009.0
853,854.0,LUXURY & PERFORMANCE SELECTION,No,No,France,Automobiles,182.39,41.35,6444045.0,2281929.0,4.0,na,2016.0
854,855.0,Grayce Group,No,No,UK,Management Consulting,182.36,41.34,17890928.0,6381674.0,395.0,117,2012.0
855,856.0,Nemesi Italia,No,No,Italy,Technology,182.02,41.28,1640000.0,581520.0,4.0,1,1993.0
856,857.0,Halo Service Solutions,No,No,UK,Technology,181.97,41.28,5037087.0,1799189.0,40.0,12,1994.0
857,858.0,Raspberry Pi,No,No,UK,Technology,181.29,41.16,80066074.0,28668484.0,73.0,36,2012.0
858,859.0,Giopato & Coombes,Yes,No,Italy,Interiors,181.27,41.16,5467910.0,1944000.0,17.0,8,2010.0
859,860.0,Ship it,No,No,Germany,Retail,180.95,41.1,3391041.0,1207009.0,8.0,4,2016.0
860,861.0,Rheinische Scheidestätte,No,No,Germany,Retail,180.89,41.1,83044963.0,29564866.0,47.0,19,2012.0
861,862.0,Whites Agency,No,No,Poland,Advertising,180.88,41.09,4076348.0,1586246.0,90.0,34,2011.0
862,863.0,Casa di Riposo Medicalizzata Sempione*,No,No,Italy,Health,180.66,41.06,2436000.0,867960.0,38.0,1,2017.0
863,864.0,CShark,Yes,Yes,Poland,Technology,180.55,41.04,11828515.0,4608343.0,269.0,135,2014.0
864,865.0,Zinox Laser,Yes,No,Italy,Interiors,180.41,41.02,6364000.0,2269510.0,47.0,30,2015.0
865,866.0,Tera Automation,No,No,Italy,Industrial Goods,180.39,41.01,4987860.0,1778890.0,20.0,14,2013.0
866,867.0,Innova Hts,No,No,Italy,Health,180.22,40.98,8792400.0,3137630.0,16.0,12,2014.0
867,868.0,Kentigen,No,No,Czech Republic,Technology,179.79,40.91,1507867.0,554004.0,20.0,8,2013.0
868,869.0,Teal Partners,No,No,Belgium,Technology,179.35,40.84,3873750.0,1386701.0,23.0,13,2015.0
869,870.0,LM Medical Division,No,No,Italy,Health,179.23,40.82,11281040.0,4040060.0,47.0,16,2010.0
870,871.0,BEC,No,No,Germany,Technology,179.21,40.81,7843183.0,2809036.0,47.0,25,2003.0
871,872.0,Xylon,No,No,Croatia,Technology,178.97,40.77,4491888.0,1610149.0,81.0,41,1995.0
872,873.0,Spedition Kai Rindert,No,No,Germany,Transport,178.52,40.7,3018684.0,1083821.0,9.0,2,2017.0
873,874.0,CO.GE.SA. Costruzioni Generali Saba,No,No,Italy,Construction,178.13,40.63,3453730.0,1241760.0,22.0,16,2009.0
874,875.0,Skärgårdstunnan/Skargards,No,No,Sweden,Ecommerce,178.05,40.62,15082088.0,5547537.0,20.0,13,2010.0
875,876.0,Autonova Milano,No,No,Italy,Automobiles,177.33,40.5,2790680.0,1006280.0,14.0,1,2015.0
876,877.0,Polarstern,No,No,Germany,Energy,177.06,40.45,30270074.0,10925375.0,40.0,25,2011.0
877,878.0,halsdorfer + ingenieure projekt,No,Yes,Germany,Property,176.94,40.43,31038460.0,11207566.0,15.0,5,2013.0
878,879.0,OPNA,Yes,No,France,Support Services,176.53,40.36,2317903.0,838200.0,23.0,9,2015.0
879,880.0,Stikets,Yes,Yes,Spain,Ecommerce,176.29,40.32,9318626.0,3372820.0,39.0,25,2010.0
880,881.0,CampuStore,No,No,Italy,Education,175.75,40.23,34410600.0,12479120.0,18.0,18,1994.0
881,882.0,Ars Futura,No,No,Croatia,Technology,175.7,40.22,1580154.0,574487.0,27.0,14,2013.0
882,883.0,Cemir Security,Yes,No,Italy,Support Services,175.61,40.21,2835330.0,1028730.0,116.0,64,2015.0
883,884.0,Borgy CZ,No,No,Czech Republic,Personal & Household Goods,175.59,40.2,22419033.0,8362568.0,60.0,40,2009.0
884,885.0,Groupe Zephyr,No,No,France,Health,175.27,40.15,16264645.0,5908517.0,600.0,190,2007.0
885,886.0,Dernier Cri,No,No,France,Technology,175.07,40.11,3956061.0,1438184.0,57.0,25,2015.0
886,887.0,yes!devs,No,No,Germany,Technology,175.0,40.1,2200000.0,800000.0,37.0,10,2016.0
887,888.0,Hydroflex Group,No,Yes,Germany,Retail,174.98,40.1,13166000.0,4788000.0,36.0,19,2009.0
888,889.0,Proteko Service,No,No,Italy,Support Services,174.64,40.04,5502450.0,2003540.0,31.0,7,2016.0
889,890.0,MiniCRM,No,No,Hungary,Technology,174.6,40.03,2232347.0,944107.0,26.0,26,2012.0
890,891.0,CNQ Consorzio Nazionale Qualità,No,No,Italy,Waste management & recycling,174.56,40.03,2151050.0,783460.0,39.0,13,2001.0
891,892.0,Accolade,No,Yes,Czech Republic,Property,174.26,39.98,83981636.0,31477723.0,,,2010.0
892,893.0,Panel Sandwich,No,No,Spain,Construction,174.0,39.93,9637845.0,3517519.0,27.0,9,2009.0
893,894.0,SYMBIOSE Informatique,No,No,France,Technology,173.97,39.93,33080096.0,12074454.0,32.0,28,1991.0
894,895.0,G.Engineering,Yes,No,Italy,Industrial Goods,173.95,39.92,16504780.0,6024830.0,51.0,24,2012.0
895,896.0,I-PARTICULIERS,No,No,France,Property,173.47,39.84,4071600.0,1488875.0,200.0,50,2011.0
896,897.0,Henco,No,No,Germany,Retail,173.33,39.82,6970679.0,2550263.0,48.0,25,2012.0
897,898.0,Giglio.com,No,Yes,Italy,Ecommerce,173.12,39.78,25355630.0,9283620.0,53.0,25,2007.0
898,899.0,Alphaspel,No,No,Sweden,Retail,172.99,39.76,4535769.0,1699234.0,16.0,5,2013.0
899,900.0,Sapiegos Klinika,No,No,Lithuania,Health,172.45,39.67,1578677.0,579436.0,24.0,14,2014.0
900,901.0,OpenCorporates,No,No,UK,Technology,172.17,39.62,2730677.0,1010498.0,25.0,9,2010.0
901,902.0,BE CLOUD,No,Yes,France,Support Services,172.09,39.61,10371094.0,3811605.0,49.0,22,2012.0
902,903.0,Drukarnia piga.pl,Yes,Yes,Poland,Ecommerce,172.02,39.59,4064038.0,1632988.0,130.0,60,2014.0
903,904.0,groupe mister menuiserie,No,No,France,Ecommerce,172.0,39.59,68009314.0,25003047.0,227.0,84,2010.0
904,905.0,Insetto,No,No,Germany,Retail,171.87,39.57,6010130.0,2210651.0,79.0,51,1999.0
905,906.0,Technophage,No,No,Portugal,Pharmaceuticals,171.71,39.54,2237180.0,823381.0,13.0,9,2005.0
906,907.0,skalis portage salarial,No,Yes,France,Support Services,171.14,39.44,6202068.0,2287420.0,68.0,25,2008.0
907,908.0,peoplegrapher,Yes,No,Germany,Advertising,170.86,39.4,3561298.0,1314806.0,11.0,5,2016.0
908,909.0,Reveg Fruit,Yes,No,Italy,Food & Beverage,170.85,39.39,2356570.0,870070.0,4.0,2,2016.0
909,910.0,Sciant,Yes,No,Bulgaria,Technology,170.83,39.39,3192139.0,1178653.0,79.0,39,2016.0
910,911.0,Boender & Beutel,No,No,Germany,Industrial Goods,170.63,39.36,14550131.0,5376347.0,130.0,50,2012.0
911,912.0,EKINOPS,No,No,France,Telecoms,170.62,39.36,92800000.0,34291000.0,456.0,419,2003.0
912,913.0,Sano-Técnica,No,No,Portugal,Health,170.53,39.34,4972658.0,1838120.0,13.0,12,1938.0
913,914.0,möbelando,No,Yes,Germany,Retail,170.52,39.34,16692390.0,6170577.0,24.0,16,2013.0
914,915.0,Democom,Yes,Yes,Italy,Telecoms,170.39,39.31,3347950.0,1238210.0,37.0,12,2011.0
915,916.0,Erbagil,No,No,Italy,Pharmaceuticals,169.82,39.22,4021010.0,1490280.0,11.0,3,2009.0
916,917.0,Axopar Boats,Yes,Yes,Finland,Travel & Leisure,169.3,39.13,78765693.0,29247774.0,32.0,9,2014.0
917,918.0,Advanced Composites Solutions,No,No,Italy,Automobiles,168.86,39.05,5393690.0,2006100.0,54.0,11,2012.0
918,919.0,Spartivento Yachts & Charter,No,No,Italy,Travel & Leisure,168.79,39.04,5194630.0,1932580.0,34.0,12,2000.0
919,920.0,Seargin,Yes,Yes,Poland,Technology,168.7,39.02,18624755.0,7576080.0,64.0,39,2014.0
920,921.0,TTP HOLDING,No,No,Germany,Support Services,168.68,39.02,37607000.0,13997000.0,32.0,28,2009.0
921,922.0,Sweef furniture,No,No,Sweden,Retail,168.54,39.0,9506903.0,3620585.0,14.0,5,2011.0
922,923.0,SONIC Tanácsadó és Szolgáltató Kft,No,No,Hungary,Technology,168.48,38.99,4646080.0,2009719.0,10.0,5,2008.0
923,924.0,spotit,No,No,Belgium,Cyber Security,168.03,38.91,20387729.0,7606472.0,71.0,30,2014.0
924,925.0,LABEL EXPERIENCE,Yes,No,France,Financial Services,168.01,38.91,1756470.0,655366.0,27.0,11,2016.0
925,926.0,LMM Logistics,Yes,No,Italy,Transport,167.88,38.88,14113040.0,5268390.0,724.0,2,2015.0
926,927.0,Medicalfit,No,No,Spain,Health,167.73,38.86,2378517.0,888395.0,35.0,15,2008.0
927,928.0,Nuova MG,No,No,Italy,Industrial Goods,167.6,38.83,2126840.0,794770.0,26.0,23,2017.0
928,929.0,innov and co handicap,No,No,France,Technology,167.55,38.83,1879824.0,702609.0,30.0,7,2016.0
929,930.0,Alma Entreprise,No,No,France,Construction,167.54,38.82,13438347.0,5023015.0,31.0,33,2003.0
930,931.0,Radit,No,No,Italy,Support Services,167.28,38.78,1879520.0,703190.0,15.0,8,2016.0
931,932.0,REGIONAL EXPRESS,No,Yes,France,Transport,167.07,38.74,22841800.0,8552857.0,220.0,80,2013.0
932,933.0,Aravati,Yes,No,France,Support Services,166.79,38.69,6671500.0,2500644.0,59.0,26,2004.0
933,934.0,Pöhner Hamburg,No,No,Germany,Retail,166.67,38.67,15603000.0,5851000.0,7.0,4,2013.0
934,935.0,Schreinerei Huber,No,No,Germany,Construction,166.56,38.65,2629044.0,986286.0,21.0,18,2010.0
935,936.0,ISR,No,No,France,Technology,166.38,38.62,4637943.0,1741112.0,12.0,12,1996.0
936,937.0,Kinga Mathe,Yes,No,Germany,Retail,166.18,38.59,1800494.0,676431.0,5.0,2,2008.0
937,938.0,Rivile,No,No,Lithuania,Technology,166.16,38.58,3905042.0,1467195.0,24.0,20,1992.0
938,939.0,MaGarantie5ans,Yes,No,France,Retail,166.08,38.57,9253546.0,3477788.0,20.0,8,2016.0
939,940.0,BEBEBOUTIK,No,No,France,Retail,165.71,38.51,29080296.0,10944325.0,98.0,36,2012.0
940,941.0,Radar Cyber Security,No,Yes,Austria,Technology,165.43,38.46,12727043.0,4794822.0,122.0,88,2011.0
941,942.0,CLAIR GROUP,Yes,Yes,France,Aerospace & Defence,165.35,38.44,38960985.0,14683064.0,121.0,49,2004.0
942,943.0,Appsfactory,Yes,No,Germany,Technology,165.29,38.43,18044631.0,6801966.0,221.0,105,2009.0
943,944.0,Stiltz Homelifts,No,Yes,UK,Interiors,164.93,38.37,36960953.0,14051407.0,250.0,142,2010.0
944,945.0,Star Stone,Yes,No,Romania,Construction,164.83,38.35,4409476.0,1729707.0,105.0,48,2012.0
945,946.0,Coptrz,No,No,UK,Aerospace & Defence,164.78,38.34,6297471.0,2395445.0,22.0,10,2016.0
946,947.0,Nurole,No,Yes,UK,Technology,164.77,38.34,3249493.0,1236098.0,35.0,15,2014.0
947,948.0,ABAO Energy,Yes,No,Germany,Construction,164.38,38.28,2406917.0,910386.0,15.0,10,2016.0
948,949.0,Welol Next,No,No,Italy,Technology,163.97,38.2,2685440.0,1017320.0,32.0,16,2011.0
949,950.0,Intent HQ,No,No,UK,Technology,163.93,38.2,5762891.0,2199126.0,75.0,22,2010.0
950,951.0,Café du Cycliste,No,Yes,France,Ecommerce,163.42,38.11,7445865.0,2826571.0,20.0,14,2009.0
951,952.0,LANGER Lüftungs- und Klimaanlagen,No,No,Germany,Construction,163.42,38.11,4609256.0,1749794.0,8.0,5,2016.0
952,953.0,Formind,Yes,Yes,France,Cyber Security,163.27,38.08,16845354.0,6398583.0,130.0,60,2010.0
953,954.0,Oasis Smart SIM Europe**,No,No,France,Telecoms,162.65,37.97,3065165.0,1167000.0,20.0,4,2010.0
954,955.0,Aferetica,Yes,No,Italy,Health,162.51,37.95,6376910.0,2429230.0,13.0,9,2013.0
955,956.0,Zero,No,No,Italy,Energy,162.5,37.95,42000000.0,16000000.0,37.0,15,2014.0
956,957.0,SKILLS,Yes,Yes,France,Support Services,162.17,37.89,11650138.0,4443710.0,70.0,20,2011.0
957,958.0,3E Studio,No,No,Italy,Support Services,161.84,37.83,2804580.0,1071090.0,22.0,1,2015.0
958,959.0,Pannonia Steel,No,No,Slovakia,Construction,161.81,37.82,1768886.0,675645.0,5.0,1,2013.0
959,960.0,Kronos,No,No,Italy,Fashion,161.72,37.81,23579000.0,9009270.0,21.0,15,2009.0
960,961.0,LaSaponaria,No,No,Italy,Beauty,161.63,37.79,6304690.0,2409730.0,22.0,11,2007.0
961,962.0,Die Wuhlewanderer,Yes,No,Germany,Health,161.58,37.78,4970000.0,1900000.0,95.0,50,2013.0
962,963.0,IMINT Vidhance,No,No,Sweden,Technology,161.54,37.78,4851538.0,1897113.0,27.0,26,2007.0
963,964.0,Arte e Passione,Yes,No,Italy,Restaurants,161.45,37.76,1671730.0,639410.0,47.0,18,2016.0
964,965.0,PAUL MARIUS,No,No,France,Retail,161.37,37.75,24869602.0,9515000.0,87.0,29,2011.0
965,966.0,Scalefocus,No,No,Bulgaria,Technology,161.21,37.72,33137857.0,12686177.0,730.0,330,2012.0
966,967.0,Whiskyzone,No,Yes,Germany,Retail,161.11,37.7,10750866.0,4117340.0,16.0,7,2014.0
967,968.0,Targa Telematics,Yes,No,Italy,Technology,160.94,37.67,37386150.0,14327610.0,113.0,63,2002.0
968,969.0,SIAN Wholesale Ltd,No,Yes,UK,Transport,160.04,37.51,74719260.0,28939861.0,50.0,23,2003.0
969,970.0,Visage Technologies,Yes,No,Sweden,Technology,159.98,37.5,5677639.0,2233448.0,104.0,54,2002.0
970,971.0,Riotloc,No,No,Lithuania,Games industry,159.92,37.49,1551468.0,596906.0,1.0,1,2016.0
971,972.0,BullionVault,No,No,UK,Precious metals,159.81,37.47,16196046.0,6278456.0,34.0,31,2003.0
972,973.0,3A Antioxidants,No,No,Spain,Chemicals & Pharmaceuticals,159.49,37.42,7704000.0,2968892.0,23.0,9,2000.0
973,974.0,on Metall,No,No,Germany,Industrial Goods,159.42,37.4,2587718.0,997518.0,6.0,3,2016.0
974,975.0,Scribbr,Yes,Yes,The Netherlands,Education,159.33,37.39,8862818.0,3417536.0,39.0,22,2012.0
975,976.0,Selectra,Yes,No,France,Energy,158.84,37.3,62951353.0,24320734.0,1000.0,500,2007.0
976,977.0,Energetic,No,No,Italy,Energy,158.58,37.26,1711470.0,661860.0,13.0,7,2010.0
977,978.0,Faveod,No,No,France,Support Services,158.4,37.22,2598585.0,1005658.0,9.0,7,2007.0
978,979.0,CYE Energia,Yes,Yes,Spain,Energy,158.39,37.22,23673728.0,9161867.0,15.0,5,2013.0
979,980.0,Integrata Oy,Yes,No,Finland,Financial Services,157.99,37.15,9409000.0,3647000.0,105.0,33,2008.0
980,981.0,Regular Trade,No,No,Germany,Retail,157.87,37.13,11671000.0,4526000.0,25.0,15,2010.0
981,982.0,Expleo,No,No,Hungary,Energy,157.82,37.12,2696785.0,900686.0,15.0,6,2011.0
982,983.0,Confezioni Velvet,No,No,Italy,Fashion,157.62,37.09,3355870.0,1302640.0,21.0,21,2015.0
983,984.0,Activ Bilanz,Yes,No,Germany,Property,157.55,37.07,17286985.0,6712146.0,10.0,12,1998.0
984,985.0,Family Nation,No,No,Italy,Ecommerce,157.4,37.05,5300370.0,2059190.0,12.0,5,2011.0
985,986.0,Majar – Matzaridis Bros,Yes,No,Greece,Technology,157.07,36.99,13224865.0,5144442.0,19.0,13,1994.0
986,987.0,Izertis,Yes,No,Spain,Technology,156.87,36.95,50740841.0,19753150.0,791.0,431,1996.0
987,988.0,Fashion Commerce,Yes,No,Italy,Ecommerce,156.44,36.88,2349000.0,916000.0,5.0,1,2016.0
988,989.0,Bulk Tainer Logistics Limited,No,No,UK,Transport,156.27,36.85,56054130.0,21717432.0,105.0,41,2009.0
989,990.0,Wingeco,No,No,Italy,Industrial Goods,155.74,36.75,3407310.0,1332330.0,22.0,12,2016.0
990,991.0,Meblobranie.pl,Yes,Yes,Poland,Ecommerce,155.48,36.71,19295429.0,6909799.0,25.0,12,2021.0
991,992.0,Queraltó,No,No,Spain,Ecommerce,155.39,36.69,21900903.0,8575344.0,67.0,39,1898.0
992,993.0,Phobos,Yes,No,Slovakia,Automobiles,155.23,36.66,3529454.0,1382844.0,12.0,8,1993.0
993,994.0,Archita Engineering,No,No,Italy,Support Services,155.02,36.62,2739230.0,1074130.0,5.0,13,2013.0
994,995.0,Celeritas,No,No,Spain,Transport,154.94,36.61,58139933.0,22805398.0,27.0,10,2006.0
995,996.0,peopleForecast,No,No,Germany,Technology,154.86,36.59,2086411.0,818658.0,45.0,15,2014.0
996,997.0,Digitalpa,No,No,Italy,Management Consulting,154.82,36.59,1731340.0,679440.0,12.0,41,2014.0
997,998.0,Faktenkontor,No,No,Germany,Advertising,154.81,36.59,30967000.0,12153143.0,150.0,100,2003.0
998,999.0,CLAREO,Yes,Yes,France,Retail,154.8,36.58,18854708.0,7399729.0,53.0,13,2012.0
999,1000.0,Laca Trade,Yes,Yes,Italy,Property,154.6,36.55,24741510.0,9717860.0,5.0,5,2013.0
1000,,,,,,,,,,,,,
