,Rank,Name,in 2021 ranking,in 2020 ranking,Country,Sector,Absolute Growth Rate %,Compound Annual Growth Rate (CAGR) %,Revenue 2020 (€),Revenue 2017 (€),Number of employees 2020,Number of employees 2017,Founding Year
673,674.0,Suntronic,No,No,Italy,Energy,234.87,49.61,2347320.0,700960.0,4.0,2,2005.0
674,675.0,TMT,Yes,Yes,Italy,Industrial Goods,234.84,49.6,12763524.0,3811838.0,42.0,6,2014.0
675,676.0,Gedankenburg,No,No,Germany,Advertising,234.74,49.59,2950010.0,881275.0,5.0,2,2015.0
676,677.0,SVOP Special Vehicle Operation,No,No,Sweden,Automobiles,234.07,49.49,4526309.0,1385662.0,16.0,6,2013.0
677,678.0,Glenholme Healthcare Group,No,No,UK,Health,234.0,49.48,14845073.0,4476517.0,415.0,132,2011.0
678,679.0,AUDENSIEL,Yes,Yes,France,Technology,233.96,49.47,57451279.0,17203160.0,720.0,230,2013.0
679,680.0,Ivnosys,No,No,Spain,Technology,233.95,49.47,8743069.0,2618069.0,106.0,34,2011.0
680,681.0,Mulconsa,No,No,Spain,Construction,233.87,49.46,6687402.0,2002982.0,45.0,30,2012.0
681,682.0,50NRTH,No,No,Germany,Retail,233.75,49.44,35107348.0,10518963.0,54.0,14,2004.0
682,683.0,Delecto,No,No,Croatia,Retail,233.68,49.43,2649288.0,793957.0,10.0,6,2008.0
683,684.0,Mardruk Opakowania,No,No,Poland,Industrial Goods,233.32,49.38,3226645.0,1058063.0,47.0,7,2015.0
684,685.0,MANANG,No,No,France,Construction,233.23,49.36,6205559.0,1862272.0,40.0,15,2012.0
685,686.0,bestbion dx,No,No,Germany,Health,233.18,49.36,14863628.0,4461170.0,27.0,21,2011.0
686,687.0,Avamore Capital,No,No,UK,Financial Services,232.57,49.27,2552248.0,772943.0,21.0,7,2015.0
687,688.0,Solaris and more,No,No,Germany,Energy,231.75,49.14,4692660.0,1414501.0,30.0,13,2011.0
688,689.0,Clearcycle,No,No,UK,Retail,231.73,49.14,2176368.0,660767.0,11.0,8,2015.0
689,690.0,Opteamis,Yes,Yes,France,Support Services,231.45,49.1,13856500.0,4180523.0,35.0,12,2005.0
690,691.0,Codenor,No,No,Spain,Construction,231.36,49.08,6385196.0,1926967.0,20.0,10,2010.0
691,692.0,HAPPYBULLE,Yes,No,France,Ecommerce,231.14,49.05,4209975.0,1271353.0,18.0,8,2015.0
692,693.0,Aurora Energy Research,No,No,UK,Energy,231.05,49.04,15079425.0,4587687.0,158.0,46,2013.0
693,694.0,Bacci,No,No,Spain,Fashion,231.0,49.03,24048302.0,7265350.0,14.0,19,2003.0
694,695.0,Emilia Foods,Yes,Yes,Italy,Food & Beverage,230.75,48.99,26824140.0,8110160.0,25.0,8,2013.0
695,696.0,T.E.A.M. - Ti educa a migliorare,No,No,Italy,Health,230.22,48.91,3370490.0,1020690.0,211.0,82,2001.0
696,697.0,Brainhub,Yes,No,Poland,Technology,230.16,48.9,3513741.0,1163241.0,75.0,30,2016.0
697,698.0,Assitech,Yes,No,Italy,Construction,230.03,48.89,2675750.0,810750.0,9.0,10,2016.0
698,699.0,Schott Packaging,No,No,UK,Ecommerce,229.61,48.82,2272847.0,694501.0,11.0,4,2016.0
699,700.0,Alba,Yes,No,Italy,Energy,229.36,48.78,3299330.0,1001740.0,30.0,12,2010.0
700,701.0,FinTrU,Yes,No,UK,Financial Services,229.03,48.73,32392546.0,9915609.0,740.0,219,2013.0
701,702.0,Global Edilizia,No,No,Italy,Construction,228.55,48.66,4028000.0,1226000.0,5.0,4,2011.0
702,703.0,TPXimpact,No,No,UK,Management Consulting,228.3,48.62,57093437.0,17515305.0,381.0,2,2016.0
703,704.0,LGS SportLab,No,No,Italy,Advertising,228.26,48.62,4014220.0,1222870.0,9.0,6,2010.0
704,705.0,Weiser Brandschutz & Technik,Yes,No,Germany,Construction,227.87,48.56,5986199.0,1825769.0,45.0,4,2005.0
705,706.0,Fairfax and Favor,No,No,UK,Fashion,226.81,48.4,18178322.0,5602279.0,47.0,13,2013.0
706,707.0,FAO Consulting,No,No,France,Technology,226.39,48.34,7781600.0,2384156.0,85.0,39,2014.0
707,708.0,Gruppo Del Barba Consulting,Yes,Yes,Italy,Financial Services,226.35,48.33,5855040.0,1794120.0,37.0,8,2010.0
708,709.0,Exclaimer,Yes,Yes,UK,Technology,226.05,48.28,26143857.0,8075796.0,109.0,62,2003.0
709,710.0,Join Business Management Consulting,Yes,No,Italy,Management Consulting,225.69,48.23,10189790.0,3128700.0,77.0,25,2013.0
710,711.0,Vennes,No,No,Germany,Construction,225.1,48.14,17048000.0,5244000.0,57.0,27,2003.0
711,712.0,Piggy,No,No,The Netherlands,Technology,225.06,48.13,2946126.0,906341.0,31.0,7,2013.0
712,713.0,Epassi,No,No,Finland,Fintech,224.82,48.1,205312456.0,63207258.0,130.0,40,2007.0
713,714.0,Atheneum Partners,Yes,Yes,Germany,Technology,224.27,48.01,33400000.0,10300000.0,315.0,150,2010.0
